Release 8.1i - Fit I.34
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

12- 8-2009 12:13PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  telecommande.ngd
output file: telecommande_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,E<2>,I,I/O,INPUT,,,,,,,,,
P2,E<3>,I,I/O,INPUT,,,,,,,,,
P3,E<4>,I,I/O,INPUT,,,,,,,,,
P4,E<5>,I,I/O,INPUT,,,,,,,,,
P5,TIE,,I/O/GCK1,,,,,,,,,,
P6,H,GCK,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,E<6>,I,I/O,INPUT,,,,,,,,,
P9,E<7>,I,I/O,INPUT,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,E<8>,I,I/O,INPUT,,,,,,,,,
P12,R,I,I/O,INPUT,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,E<9>,I,I/O,INPUT,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,E<11>,I,I/O,INPUT,,,,,,,,,
P19,E<10>,I,I/O,INPUT,,,,,,,,,
P20,E<12>,I,I/O,INPUT,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,E<13>,I,I/O,INPUT,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,E<14>,I,I/O,INPUT,,,,,,,,,
P25,E<15>,I,I/O,INPUT,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,sortie,O,I/O,OUTPUT,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,TIE,,I/O/GTS1,,,,,,,,,,
P43,E<0>,I,I/O,INPUT,,,,,,,,,
P44,E<1>,I,I/O,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


